year,CODGEO,LIBGEO,rank,density_data,reldensity_data,area_data,relarea_data,pop_data,relpop_data,popweight,group,ngroup
1886,35238,Rennes,20,,,,,66139.0,0.0223360392071971,0.011688503562626337,5,6
1886,42218,Saint-Étienne,7,,,,,126410.0,0.0426903750613372,0.022339976947815893,3,6
1886,44109,Nantes,6,,,,,144938.0,0.0489475324787604,0.02561436262054062,3,6
1886,51454,Reims,13,,,,,98593.0,0.033296196095423,0.017423980280167804,4,5
1886,54395,Nancy,16,,,,,79038.0,0.0266922068198558,0.013968096653757396,5,6
1886,59350,Lille,5,,,,,197963.0,0.0668547956511945,0.03498527692841134,3,6
1886,67482,Strasbourg,11,,,,,111987.0,0.0378195319357169,0.01979105291080657,4,5
1886,68224,Mulhouse,17,,,,,75693.0,0.0255625548573515,0.013376947038296245,5,6
1886,69123,Lyon,2,,,,,404172.0,0.136494377575277,0.07142783927658132,2,2
1886,75060,Paris,1,,,,,2.961089e6,1.0,0.5233024286087431,1,1
1886,76351,Le Havre,10,,,,,127086.0,0.0429186694489764,0.022459443955305202,4,5
1886,76540,Rouen,9,,,,,107163.0,0.0361904015718541,0.018938525034876943,3,6
1886,80021,Amiens,15,,,,,80288.0,0.0271143488088335,0.014189004581807154,5,6
1886,83137,Toulon,14,,,,,70122.0,0.0236811524408756,0.012392404584564086,4,5
1886,87085,Limoges,19,,,,,69207.0,0.023372144504944,0.012230699981231663,5,6
1891,13055,Marseille,3,,,,,403749.0,0.128517202249176,0.06711739747096034,2,2
1891,29019,Brest,12,,,,,103634.0,0.0329877021067324,0.017227644822663344,4,5
1891,30189,Nîmes,18,,,,,71623.0,0.0227982919504265,0.011906281771750744,5,6
1891,31555,Toulouse,8,,,,,149791.0,0.0476799205499118,0.024900574576215962,3,6
1891,33063,Bordeaux,4,,,,,261085.0,0.0831058745637168,0.043401582960467214,3,6
1891,35238,Rennes,20,,,,,69232.0,0.0220372135809995,0.011508812806247262,5,6
1891,42218,Saint-Étienne,7,,,,,140412.0,0.0446944943571657,0.023341452272804347,3,6
1891,44109,Nantes,6,,,,,142410.0,0.0453304770347546,0.02367359070570939,3,6
1891,51454,Reims,13,,,,,104663.0,0.0333152427349802,0.017398701102673,4,5
1891,54395,Nancy,16,,,,,87110.0,0.0277279534758618,0.0144807702153946,5,6
1891,59350,Lille,5,,,,,211884.0,0.0674447215506773,0.035222632491317525,3,6
1891,67482,Strasbourg,11,,,,,123500.0,0.0393112415826992,0.020530078310196685,4,5
1891,68224,Mulhouse,17,,,,,83116.0,0.0264566247399808,0.01381682582048832,5,6
1891,69123,Lyon,2,,,,,440315.0,0.140156512854139,0.07319596300529758,2,2
1891,75060,Paris,1,,,,,3.141595e6,1.0,0.5222444645256871,1,1
1891,76351,Le Havre,10,,,,,134222.0,0.0427241576333041,0.022312454825515946,4,5
1891,76540,Rouen,9,,,,,112352.0,0.0357627256218577,0.018676885492366135,3,6
1891,80021,Amiens,15,,,,,83654.0,0.0266278753308431,0.0139062604936129,5,6
1891,83137,Toulon,14,,,,,77747.0,0.0247476202374908,0.012924307679213454,4,5
1891,87085,Limoges,19,,,,,73470.0,0.0233862098711005,0.01221331865141822,5,6
1896,13055,Marseille,3,,,,,442239.0,0.132386512973752,0.06932305314941406,2,2
1896,29019,Brest,12,,,,,103462.0,0.0309718803752955,0.01621815743284667,4,5
1896,30189,Nîmes,18,,,,,74601.0,0.0223321919920108,0.011694059293729043,5,6
1896,31555,Toulouse,8,,,,,149963.0,0.0448921932373282,0.023507408933733976,3,6
1896,33063,Bordeaux,4,,,,,267369.0,0.0800382815339196,0.041911354262074776,3,6
1896,35238,Rennes,20,,,,,69937.0,0.0209359996695119,0.010962955252952749,5,6
1896,42218,Saint-Étienne,7,,,,,142191.0,0.0425656051733356,0.02228911120540779,3,6
1896,44109,Nantes,6,,,,,146170.0,0.0437567392323457,0.022912838259063206,3,6
1896,51454,Reims,13,,,,,108492.0,0.0324776366750746,0.01700663370323791,4,5
1896,54395,Nancy,16,,,,,96306.0,0.0288296950708783,0.015096420615566403,5,6
1896,59350,Lille,5,,,,,228920.0,0.0685283761720502,0.03588429181271635,3,6
1896,67482,Strasbourg,11,,,,,135608.0,0.0405949503579389,0.02125719484596732,4,5
1896,68224,Mulhouse,17,,,,,89704.0,0.0268533525080272,0.014061525916337182,5,6
1896,69123,Lyon,2,,,,,468311.0,0.140191299901752,0.07340996235848771,2,2
1896,75060,Paris,1,,,,,3.340514e6,1.0,0.5236413558468651,1,1
1896,76351,Le Havre,10,,,,,139919.0,0.041885470319837,0.021932964468563076,4,5
1896,76540,Rouen,9,,,,,113219.0,0.0338926883707118,0.01774761329173481,3,6
1896,80021,Amiens,15,,,,,88731.0,0.0265620799673344,0.013909003568207822,5,6
1896,83137,Toulon,14,,,,,95276.0,0.0285213592878222,0.01493496324807078,4,5
1896,87085,Limoges,19,,,,,78461.0,0.0234877027906484,0.012299132535023316,5,6
1901,13055,Marseille,3,,,,,491161.0,0.133833887839823,0.07156813245818608,2,2
1901,29019,Brest,12,,,,,117517.0,0.0320215916924846,0.01712365644277264,4,5
1901,30189,Nîmes,18,,,,,80605.0,0.0219636341837583,0.011745129024478915,5,6
1901,31555,Toulouse,8,,,,,149841.0,0.0408293891164137,0.021833656450058248,3,6
1901,33063,Bordeaux,4,,,,,268186.0,0.0730765981912462,0.039077962565087804,3,6
1901,35238,Rennes,20,,,,,74676.0,0.0203480720340715,0.01088120160079384,5,6
1901,42218,Saint-Étienne,7,,,,,154007.0,0.0419645606319467,0.022440693327621417,3,6
1901,44109,Nantes,6,,,,,160033.0,0.0436065538034785,0.023318754831268957,3,6
1901,51454,Reims,13,,,,,109119.0,0.0297332646671735,0.015899965684785244,4,5
1901,54395,Nancy,16,,,,,102559.0,0.0279457646331129,0.014944093885261871,5,6
1901,59350,Lille,5,,,,,227090.0,0.0618785644412836,0.0330897754502688,3,6
1901,67482,Strasbourg,11,,,,,151041.0,0.0411563708299613,0.022008511047532035,4,5
1901,68224,Mulhouse,17,,,,,97374.0,0.0265329311458257,0.014188576312010544,5,6
1901,69123,Lyon,2,,,,,461687.0,0.125802671985569,0.0672734121199007,2,2
1901,75060,Paris,1,,,,,3.66993e6,1.0,0.5347534440891496,1,1
1901,76351,Le Havre,10,,,,,154459.0,0.0420877237440496,0.02250655522600321,4,5
1901,76540,Rouen,9,,,,,116316.0,0.0316943374941756,0.01694865613313429,3,6
1901,80021,Amiens,15,,,,,90758.0,0.0247301719651329,0.013224544631271725,5,6
1901,83137,Toulon,14,,,,,101602.0,0.0276849967165586,0.014804647343776524,4,5
1901,87085,Limoges,19,,,,,84884.0,0.023129596477317,0.012368631376637532,5,6
1906,13055,Marseille,3,,,,,517498.0,0.134463332032433,0.07262073893536322,2,2
1906,29019,Brest,12,,,,,120180.0,0.0312267936178649,0.01686491620306156,4,5
1906,30189,Nîmes,18,,,,,80184.0,0.0208344917578206,0.0112522586189573,5,6
1906,31555,Toulouse,8,,,,,149438.0,0.038829003034336,0.020970705171851504,3,6
1906,33063,Bordeaux,4,,,,,264835.0,0.0688130128789087,0.03716442072422873,3,6
1906,35238,Rennes,20,,,,,75640.0,0.0196538081981636,0.010614596951236283,5,6
1906,42218,Saint-Étienne,7,,,,,153767.0,0.0399538223850743,0.021578195787952798,3,6
1906,44109,Nantes,6,,,,,161908.0,0.0420691271516165,0.022720626165795402,3,6
1906,51454,Reims,13,,,,,110757.0,0.0287783822660498,0.015542582159281823,4,5
1906,54395,Nancy,16,,,,,110570.0,0.0287297933959671,0.015516340360896295,5,6
1906,59350,Lille,5,,,,,225725.0,0.0586509235263152,0.03167609593889226,3,6
1906,67482,Strasbourg,11,,,,,167678.0,0.0435683666188746,0.02353033299298516,4,5
1906,68224,Mulhouse,17,,,,,104007.0,0.0270245059395347,0.01459535146889519,5,6
1906,69123,Lyon,2,,,,,474652.0,0.123330504612305,0.06660813950420683,2,2
1906,75060,Paris,1,,,,,3.848618e6,1.0,0.5400783829888033,1,1
1906,76351,Le Havre,10,,,,,158303.0,0.0411324272764925,0.022214734811892616,4,5
1906,76540,Rouen,9,,,,,118459.0,0.030779620112986,0.01662340745963113,3,6
1906,80021,Amiens,15,,,,,90920.0,0.0236240645343341,0.012758846573326321,5,6
1906,83137,Toulon,14,,,,,103549.0,0.0269055021828615,0.014531080112421548,4,5
1906,87085,Limoges,19,,,,,89348.0,0.0232156062254035,0.012538247070320722,5,6
1911,13055,Marseille,3,,,,,550619.0,0.132550176430571,0.07233028552137158,2,2
1911,29019,Brest,12,,,,,125909.0,0.0303099968657033,0.016539628889868263,4,5
1911,30189,Nîmes,18,,,,,80437.0,0.0193635500074385,0.01056634655993085,5,6
1911,31555,Toulouse,8,,,,,149576.0,0.0360073393576666,0.01964856786116112,3,6
1911,33063,Bordeaux,4,,,,,275468.0,0.0663132438237264,0.03618596360096761,3,6
1911,35238,Rennes,20,,,,,79372.0,0.0191071732062411,0.010426446276649197,5,6
1911,42218,Saint-Étienne,7,,,,,155652.0,0.0374700111361416,0.020446721965592413,3,6
1911,44109,Nantes,6,,,,,170535.0,0.0410527866593549,0.02240177916379039,3,6
1911,51454,Reims,13,,,,,116085.0,0.0279450713305258,0.015249130877700223,4,5
1911,54395,Nancy,16,,,,,119949.0,0.0288752496965606,0.015756712750564363,5,6
1911,59350,Lille,5,,,,,240799.0,0.0579673965742282,0.031631782454402686,3,6
1911,67482,Strasbourg,11,,,,,178891.0,0.0430643214488443,0.02349943810003593,4,5
1911,68224,Mulhouse,17,,,,,106616.0,0.0256656047290807,0.014005266293292734,5,6
1911,69123,Lyon,2,,,,,526248.0,0.126683360447487,0.06912886786516766,2,2
1911,75060,Paris,1,,,,,4.154042e6,1.0,0.5456823028768885,1,1
1911,76351,Le Havre,10,,,,,166618.0,0.0401098496356079,0.021887235117204255,4,5
1911,76540,Rouen,9,,,,,124987.0,0.0300880443673896,0.016418513339459172,3,6
1911,80021,Amiens,15,,,,,93207.0,0.0224376643279004,0.012243836341627297,5,6
1911,83137,Toulon,14,,,,,104582.0,0.0251759611482022,0.013738076456490026,4,5
1911,87085,Limoges,19,,,,,92973.0,0.0223813336504542,0.012213097687835834,5,6
1921,13055,Marseille,3,,,,,586341.0,0.132906180419254,0.07393846827810067,2,2
1921,29019,Brest,12,,,,,108828.0,0.0246680921215924,0.013723371938460965,4,5
1921,30189,Nîmes,18,,,,,82774.0,0.0187624201241655,0.010437923961059359,5,6
1921,31555,Toulouse,8,,,,,175434.0,0.0397657043523674,0.022122487160031984,3,6
1921,33063,Bordeaux,4,,,,,283394.0,0.0642370465202572,0.035736403013270544,3,6
1921,35238,Rennes,20,,,,,82241.0,0.0186416047724104,0.010370711871861728,5,6
1921,42218,Saint-Étienne,7,,,,,175546.0,0.0397910914431677,0.022136610525867132,3,6
1921,44109,Nantes,6,,,,,183704.0,0.0416402690034275,0.023165346405180955,3,6
1921,51454,Reims,13,,,,,76795.0,0.0174071574822443,0.009683963208127594,4,5
1921,54395,Nancy,16,,,,,113226.0,0.0256649887764125,0.014277966250451916,5,6
1921,59350,Lille,5,,,,,225603.0,0.0511375343377403,0.028448872343814175,3,6
1921,67482,Strasbourg,11,,,,,166767.0,0.0378011515312382,0.021029565627056636,4,5
1921,68224,Mulhouse,17,,,,,100278.0,0.0227300597435315,0.01264520427872412,5,6
1921,69123,Lyon,2,,,,,564446.0,0.127943230838243,0.07117747635880965,2,2
1921,75060,Paris,1,,,,,4.411691e6,1.0,0.5563207673628183,1,1
1921,76351,Le Havre,10,,,,,179319.0,0.0406463190645038,0.022612391412438725,4,5
1921,76540,Rouen,9,,,,,123712.0,0.0280418551525934,0.01560026637676777,3,6
1921,80021,Amiens,15,,,,,92780.0,0.0210304846826308,0.011699695376653144,5,6
1921,83137,Toulon,14,,,,,106331.0,0.0241020959990172,0.013408496541225537,4,5
1921,87085,Limoges,19,,,,,90911.0,0.0206068376049003,0.01146401170927909,5,6
1926,13055,Marseille,3,,,,,652196.0,0.140904547062127,0.07859908148660916,2,2
1926,29019,Brest,12,,,,,100365.0,0.0216834891135339,0.012095438815024206,4,5
1926,30189,Nîmes,18,,,,,84667.0,0.0182919939498388,0.010203602034092108,5,6
1926,31555,Toulouse,8,,,,,180771.0,0.0390549096850758,0.02178552852120501,3,6
1926,33063,Bordeaux,4,,,,,273840.0,0.0591621248328612,0.03300169346989716,3,6
1926,35238,Rennes,20,,,,,83418.0,0.0180221520935861,0.010053079410867227,5,6
1926,42218,Saint-Étienne,7,,,,,201616.0,0.0435583952684127,0.02429765348607503,3,6
1926,44109,Nantes,6,,,,,184509.0,0.0398624908369354,0.02223601176028796,3,6
1926,51454,Reims,13,,,,,101385.0,0.0219038563620349,0.012218363615416023,4,5
1926,54395,Nancy,16,,,,,114491.0,0.0247353594589509,0.013797826785940681,5,6
1926,59350,Lille,5,,,,,236134.0,0.0510158822132736,0.028457573348746337,3,6
1926,67482,Strasbourg,11,,,,,174492.0,0.0376983548288622,0.021028817911734207,4,5
1926,68224,Mulhouse,17,,,,,102323.0,0.022106507812127,0.01233140622597242,5,6
1926,69123,Lyon,2,,,,,574125.0,0.124037594652594,0.06919039316171746,2,2
1926,75060,Paris,1,,,,,4.628637e6,1.0,0.5578179208933114,1,1
1926,76351,Le Havre,10,,,,,176229.0,0.0380736272902801,0.021238151615930862,4,5
1926,76540,Rouen,9,,,,,122898.0,0.0265516608885078,0.014810992273091664,3,6
1926,80021,Amiens,15,,,,,91576.0,0.0197846579889501,0.011036236784981385,5,6
1926,83137,Toulon,14,,,,,115120.0,0.0248712525955265,0.013873630412848968,4,5
1926,87085,Limoges,19,,,,,98964.0,0.0213808082163281,0.011926597986250741,5,6
1931,13055,Marseille,3,,,,,800881.0,0.162323578621585,0.09051030761577152,2,2
1931,29019,Brest,12,,,,,103135.0,0.0209035328358859,0.011655639946449718,4,5
1931,30189,Nîmes,18,,,,,89213.0,0.0180818041875977,0.010082266995128895,5,6
1931,31555,Toulouse,8,,,,,194564.0,0.0394344787189733,0.021988344699093835,3,6
1931,33063,Bordeaux,4,,,,,283374.0,0.0574346023545483,0.032025067282544645,3,6
1931,35238,Rennes,20,,,,,88659.0,0.0179695187637253,0.01001965755575009,5,6
1931,42218,Saint-Étienne,7,,,,,199099.0,0.0403536382808169,0.022500860597257887,3,6
1931,44109,Nantes,6,,,,,187343.0,0.037970917264492,0.02117227473202821,3,6
1931,51454,Reims,13,,,,,113264.0,0.0229564914250622,0.012800352963539834,4,5
1931,54395,Nancy,16,,,,,120578.0,0.0244389022377026,0.013626933179454249,5,6
1931,59350,Lille,5,,,,,240348.0,0.0487140380088187,0.027162551508695367,3,6
1931,67482,Strasbourg,11,,,,,181465.0,0.0367795567563295,0.02050798179941337,4,5
1931,68224,Mulhouse,17,,,,,103038.0,0.0208838727526447,0.011644677643887002,5,6
1931,69123,Lyon,2,,,,,583647.0,0.118294315499746,0.06595994849299984,2,2
1931,75060,Paris,1,,,,,4.933855e6,1.0,0.5575918691810798,1,1
1931,76351,Le Havre,10,,,,,186340.0,0.0377676279501526,0.021058922263261164,4,5
1931,76540,Rouen,9,,,,,122957.0,0.0249210809802882,0.013895792125811973,3,6
1931,80021,Amiens,15,,,,,90211.0,0.0182840800955845,0.010195054396753531,5,6
1931,83137,Toulon,14,,,,,133263.0,0.0270099141543479,0.015060508519743334,4,5
1931,87085,Limoges,19,,,,,93272.0,0.0189044874646701,0.010540988501335705,5,6
1936,13055,Marseille,3,,,,,914168.0,0.184197249074347,0.10077379833621507,2,2
1936,29019,Brest,12,,,,,118700.0,0.0239170627993159,0.013084957975458262,4,5
1936,30189,Nîmes,18,,,,,93736.0,0.0188870244191801,0.01033303808582608,5,6
1936,31555,Toulouse,8,,,,,213220.0,0.0429620566981477,0.023504420720532524,3,6
1936,33063,Bordeaux,4,,,,,281338.0,0.05668726717636,0.031013444876996435,3,6
1936,35238,Rennes,20,,,,,98538.0,0.0198545874820471,0.010862389123721198,5,6
