CODGEO,LIBGEO,rank,REG,DEP,pop,area,year,type,rural_area,meanbuilt,b10,b25,b50,b75,b90,p10,p25,p50,p75,p90
31555,Toulouse,8,76,31,369002.602507591,132.875,1975,satellite,1217.4375,67.8566773065619,30.0256004333496,50.1731986999512,69.4991989135742,86.1360015869141,100,11.2094192504883,100.886661529541,174.519958496094,253.405517578125,478.942352294922
76540,Rouen,9,28,76,351163.736768723,96.5625,1975,satellite,372.1875,77.0424615890849,30.089599609375,60.3839988708496,82.9359970092773,97.0047988891602,100,31.6190242767334,140.204330444336,226.672790527344,313.978210449219,525.055114746094
76351,Le Havre,10,28,76,264295.344802857,70.375,1975,satellite,179.875,80.9994828053097,30.1135997772217,64.3391990661621,92.2975997924805,100,100,3.81197786331177,65.5931015014649,287.514801025391,384.84423828125,395.816070556641
67482,Strasbourg,11,44,67,362963.42950058,95.6875,1975,satellite,259.3125,78.7948623771842,30.0128002166748,63.1495990753174,86.3199996948242,98.7279968261719,100,37.2265625,139.310150146484,246.532043457031,341.367324829102,474.008483886719
29019,Brest,12,53,29,182740.046703339,44.25,1975,satellite,196.375,79.3497197264332,30.1152000427246,64.3332004547119,87.7127990722656,98.0932025909424,100,28.9340629577637,152.53377532959,313.356201171875,368.572174072266,375.741302490234
51454,Reims,13,44,51,210795.965781212,31.375,1975,satellite,145.625,70.1253035040016,30.1440010070801,53.0843992233276,73.0863990783691,88.7568016052246,100,12.8349370956421,293.13419342041,441.618988037109,564.125061035156,640.079467773438
83137,Toulon,14,93,83,377648.247961044,175.9375,1975,satellite,466.625,74.1767156177473,30.0352001190186,54.2103996276856,79.4384002685547,95.6335983276367,100,21.3192043304443,58.9474296569824,101.337554931641,192.015319824219,361.057983398438
80021,Amiens,15,32,80,133353.874967575,28.625,1975,satellite,129.9375,73.5652296907517,30.1951999664307,55.5080013275147,78.7991981506348,93.6800003051758,100,14.6953201293945,179.225254058838,312.684799194336,404.368370056152,441.151611328125
54395,Nancy,16,44,54,244638.440050125,51.6875,1975,satellite,573.625,73.1707337528215,30.0111999511719,52.9312000274658,78.3952026367188,94.5048027038574,100,26.7993259429932,166.025802612305,266.823394775391,442.092147827148,688.174865722656
68224,Mulhouse,17,44,68,190496.678108215,58.125,1975,satellite,182.125,77.0617840613088,30.0032005310059,60.1864004135132,84.3120002746582,97.0035991668701,100,21.2683582305908,115.925254821777,179.200576782227,315.641510009766,382.757232666016
30189,Nîmes,18,76,30,90233.3135910034,22.125,1975,satellite,95.75,74.6915299690376,30.0911998748779,57.7952013015747,79.7543983459473,94.9059982299805,100,78.2589721679688,197.303958892822,272.767700195313,324.587615966797,342.009582519531
87085,Limoges,19,75,87,112220.346389771,27.75,1975,satellite,203.8125,74.1962234393971,31.0368003845215,57.941198348999,79.065601348877,92.8608016967774,100,89.1029052734375,202.574180603027,267.897872924805,311.346488952637,398.140441894531
35238,Rennes,20,53,35,215798.350063324,41.8125,1975,satellite,178.1875,78.2996471872601,30.1903991699219,60.470401763916,87.0655975341797,98.7248001098633,100,31.7875061035156,193.489334106445,381.507995605469,453.587005615234,459.453308105469
49007,Angers,21,52,49,204291.539703369,52.8125,1975,satellite,171.625,74.3523029801408,30.081600189209,55.7631988525391,79.8031997680664,94.6047973632812,100,17.4763565063477,110.377937316895,243.491607666016,392.7255859375,427.04638671875
34172,Montpellier,22,76,34,193005.434944153,57.8125,1975,satellite,968.9375,69.4200043425689,30.0687999725342,50.521598815918,71.6895980834961,88.8544006347656,100,40.0946273803711,121.769752502441,200.838470458984,301.309387207031,354.50830078125
25056,Besançon,23,27,25,112545.970561981,26.1875,1975,satellite,94.9375,75.3036869249367,30.5503997802734,58.4752006530762,81.4015960693359,95.5752029418945,100,21.9486541748047,189.203605651855,295.264892578125,355.059173583984,372.448028564453
06088,Nice,24,93,6,433115.942378998,99.0625,1975,satellite,1106.6875,73.3048085666982,30.0095996856689,52.7439994812012,76.2160034179688,97.0352020263672,100,19.9983539581299,117.696252822876,231.334022521973,459.33056640625,531.974975585938
45234,Orléans,25,24,45,143358.453857422,46.75,1975,satellite,342.6875,69.5615292258441,30.0191993713379,51.0940008163452,72.1520004272461,88.8043975830078,100,38.4498863220215,102.494859695435,160.652969360352,236.987537384033,435.175903320313
37261,Tours,26,24,37,146366.302711487,37.0625,1975,satellite,190.4375,69.6999528669386,30.0400009155273,48.4224014282227,72.193603515625,91.5839996337891,100,48.5575294494629,133.984985351563,173.255020141602,396.520080566406,489.318298339844
57463,Metz,27,44,57,173317.331432343,39.25,1975,satellite,167,70.8522394903147,30.4624004364014,51.0939998626709,73.4023971557617,91.3648014068604,100,21.4104537963867,178.308815002441,287.971832275391,387.082206726074,536.797546386719
