year,theta_rural,theta_urban,Employment_rural,SpendingShare_Rural,SpendingShare_Urban,SpendingShare_Housing,P_rural,stheta_rural,stheta_urban
1878,1.344506311663597,1.2333658470384468,0.477121889591217,,,,0.9108228864498654,1.3344218759440163,1.2650084940876754
1879,1.1481771165377646,1.193160738297279,0.472382485866547,,,,0.9075227784023808,1.3282408982701288,1.2743155952158336
1880,1.2771238804654532,1.2675862604202188,0.467708975076675,,,,0.9037208443784389,1.3275683573598231,1.2844148679371223
1881,1.3120896087382088,1.3054906779299114,0.463099926710129,,,,0.8994705803681797,1.3334203309352681,1.2945492043689764
1882,1.3950255845178825,1.3467409347408046,0.46092700958252,,,,0.8948390705196103,1.344713894265964,1.3041199637145255
1883,1.4027967753634514,1.3389779131830428,0.458770453929901,,,,0.8899008841865932,1.3568889062623821,1.3123935685006667
1884,1.4055846865650534,1.3054530576154415,0.456630110740662,,,,0.8847193730646132,1.3674256611747064,1.319340259628139
1885,1.3850427356787958,1.2716323949085235,0.454505801200867,,,,0.8793469800071104,1.3755224214367088,1.3258064063652233
1886,1.354459475483067,1.3064175310108075,0.452397346496582,,,,0.8738351726228926,1.3804974763571491,1.3332830806718563
1887,1.3614710109659274,1.311259544151863,0.45012429356575,,,,0.8682394085099181,1.3848047440650821,1.3437119618196978
1888,1.3634912460613569,1.323698910132523,0.447858452796936,,,,0.8626203906835944,1.3925330847589117,1.3585193861805536
1889,1.3571166568350572,1.3668273959768666,0.445599794387817,,,,0.8570436744117693,1.4060527631570774,1.3775839588356127
1890,1.441768162146688,1.370727647245733,0.443348258733749,,,,0.8515835789073047,1.4257429378916504,1.3997182212398214
1891,1.401759866878809,1.4273809148103989,0.44110381603241,,,,0.8463163741716553,1.4492211164802518,1.423565170017881
1892,1.4598566751025035,1.4499710776415715,0.438770353794098,,,,0.8413125374671626,1.4729739223663547,1.4480530143784944
1893,1.51830804980005,1.4563538516618442,0.436438143253326,,,,0.8366274607561885,1.495435847478653,1.4730094749734235
1894,1.6045890890436447,1.4939175963238545,0.434107154607773,,,,0.8323072725952967,1.517117838957616,1.4979696153809272
1895,1.5352736586712228,1.4732845258520164,0.431777358055115,,,,0.8284070627613189,1.538789347709738,1.5214607497385568
1896,1.6033457911190034,1.5418267881301229,0.429448813199997,0.489410012960434,0.271387428045273,0.239202558994293,0.8249848558621841,1.5597702760916072,1.5419569592513755
1897,1.4086671326966698,1.5682365275557963,0.426298588514328,0.466455161571503,0.281215757131577,0.252329081296921,0.8220916196144858,1.5788662663886397,1.5582839263834256
1898,1.560177322927204,1.5880767847338402,0.423203855752945,0.48247042298317,0.278284698724747,0.239244863390923,0.8197707665320498,1.5951709684224333,1.5698528811227217
1899,1.6735473069237565,1.6447874581116946,0.420163184404373,0.484912037849426,0.280466705560684,0.234621271491051,0.818050109245298,1.608363697586702,1.5766553028526384
1900,1.7660689807090337,1.5610255492792309,0.417175114154816,0.503087401390076,0.267037570476532,0.229875043034554,0.8169435078339627,1.6180386959378605,1.5796641254136794
1901,1.664659992415851,1.543242008626615,0.414238333702087,0.478485405445099,0.289485931396484,0.232028633356094,0.8164494358360672,1.6242000586167131,1.5810024904557793
1902,1.5701929989328292,1.5300560884055059,0.416911661624908,0.448712199926376,0.30219042301178,0.249097391963005,0.8165458830464878,1.6274791611639734,1.582888640742775
1903,1.568406605718937,1.5649426600223582,0.419541358947754,0.448593109846115,0.315089732408524,0.236317157745361,0.8172038690644228,1.6290996497134653,1.5877008655440736
1904,1.636425487045178,1.5434089313552535,0.422128528356552,0.485148698091507,0.288003355264664,0.226847946643829,0.818396293365738,1.628956351045954,1.5970319732649993
1905,1.6176820845201108,1.574728957826023,0.424674183130264,0.453429579734802,0.310764372348785,0.235806062817574,0.8200921734712039,1.6277096575013672,1.6114454773435927
1906,1.555500485296325,1.6278932895600036,0.427179306745529,0.438640981912613,0.32490861415863,0.236450389027596,0.8222533681554863,1.6287068711779846,1.6321770186498092
1907,1.693735931657314,1.6596145993850997,0.423619121313095,0.45998740196228,0.318661540746689,0.221351027488709,0.824853840438166,1.6333526746937694,1.6597199124802664
1908,1.690543841135698,1.6387898046439742,0.420072853565216,0.455988347530365,0.320209383964539,0.223802283406258,0.8278703806382062,1.6402654536819317,1.6931899606926653
1909,1.71372279748317,1.7141916435946156,0.416540384292603,0.452213883399963,0.334735155105591,0.213050916790962,0.8312758031633357,1.647336641330416,1.7308275298360356
1910,1.4553562938277813,1.6578294457963336,0.413021624088287,0.447673976421356,0.33045819401741,0.22186778485775,0.8350452906590653,1.6534730281657886,1.7698426312770674
1911,1.6458696230630934,1.7903196939489876,0.409516543149948,0.487695306539536,0.316974371671677,0.195330291986465,0.8391460855756864,1.6581075313159326,1.806591804439418
1912,1.7606166942927495,1.9394218189603167,0.41013303399086,0.478655457496643,0.322252333164215,0.199092194437981,0.8435452512970192,1.6601604146332634,1.8373592937486358
1913,1.6992695831412867,1.9382321810161327,0.410744935274124,0.466573745012283,0.330152660608292,0.203273579478264,0.8482122726375013,1.658373272262092,1.8591184421644766
